U_star, Amplitude, DOF_ID (1=Heave 2=Pitch 3=Flap)
2.662410,0.240686,1.000000
2.662410,0.241474,1.000000
2.662410,0.242173,1.000000
2.662410,0.242747,1.000000
2.662410,0.243303,1.000000
2.662410,0.243776,1.000000
2.662410,0.244181,1.000000
2.662410,0.244568,1.000000
2.662410,0.244890,1.000000
2.662410,0.245177,1.000000
2.662410,0.245444,1.000000
2.669721,0.231011,1.000000
2.669721,0.232912,1.000000
2.669721,0.234818,1.000000
2.669721,0.236600,1.000000
2.669721,0.237908,1.000000
2.669721,0.239320,1.000000
2.669721,0.240466,1.000000
2.669721,0.241420,1.000000
2.669721,0.242406,1.000000
2.669721,0.243165,1.000000
2.669721,0.243863,1.000000
2.669721,0.244532,1.000000
2.669721,0.245051,1.000000
2.669721,0.245552,1.000000
2.677097,0.237780,1.000000
2.677097,0.239198,1.000000
2.677097,0.240680,1.000000
2.677097,0.241891,1.000000
2.677097,0.242918,1.000000
2.677097,0.243948,1.000000
2.677097,0.244757,1.000000
2.677097,0.245499,1.000000
2.677097,0.246201,1.000000
2.677097,0.246756,1.000000
2.677097,0.247285,1.000000
2.677097,0.247759,1.000000
2.677097,0.248146,1.000000
2.677097,0.248518,1.000000
2.684533,0.240423,1.000000
2.684533,0.241924,1.000000
2.684533,0.243181,1.000000
2.684533,0.244383,1.000000
2.684533,0.245396,1.000000
2.684533,0.246285,1.000000
2.684533,0.247115,1.000000
2.684533,0.247808,1.000000
2.684533,0.248434,1.000000
2.684533,0.249003,1.000000
2.684533,0.249481,1.000000
2.684533,0.249919,1.000000
2.684533,0.250309,1.000000
2.692028,0.242153,1.000000
2.692028,0.243641,1.000000
2.692028,0.244948,1.000000
2.692028,0.246194,1.000000
2.692028,0.247203,1.000000
2.692028,0.248133,1.000000
2.692028,0.248981,1.000000
2.692028,0.249678,1.000000
2.692028,0.250332,1.000000
2.692028,0.250909,1.000000
2.692028,0.251394,1.000000
2.692028,0.251850,1.000000
2.692028,0.252243,1.000000
2.471803,5.144018,2.000000
2.471803,5.146506,2.000000
2.471803,5.148836,2.000000
2.471803,5.150823,2.000000
2.471803,5.152640,2.000000
2.471803,5.154269,2.000000
2.471803,5.155683,2.000000
2.471803,5.156991,2.000000
2.471803,5.158126,2.000000
2.471803,5.159149,2.000000
2.471803,5.160071,2.000000
2.471803,5.160875,2.000000
2.471803,5.161610,2.000000
2.471803,5.162257,2.000000
2.471803,5.162834,2.000000
2.471810,5.144080,2.000000
2.471810,5.146564,2.000000
2.471810,5.148892,2.000000
2.471810,5.150879,2.000000
2.471810,5.152694,2.000000
2.471810,5.154322,2.000000
2.471810,5.155735,2.000000
2.471810,5.157042,2.000000
2.471810,5.158177,2.000000
2.471810,5.159198,2.000000
2.471810,5.160120,2.000000
2.471810,5.160924,2.000000
2.471810,5.161658,2.000000
2.471810,5.162304,2.000000
2.471810,5.162881,2.000000
2.471825,5.144202,2.000000
2.471825,5.146679,2.000000
2.471825,5.149005,2.000000
2.471825,5.150991,2.000000
2.471825,5.152800,2.000000
